,ID,hatzvara_quality,in_building_quality,staying,Identification,profession,number_of_buildings,geo_buildings,geo_buildings_new,geo_buildings_assessment_summary
442,TZ442,low,high,3_to_6,לוי,עובד ציבור,3,"['POLYGON ((34.7514899 32.0433244, 34.7515195 32.0434379, 34.7517506 32.0433947, 34.751721 32.0432812, 34.7514899 32.0433244))', 'POLYGON ((34.751584 32.0452631, 34.7516914 32.0452355, 34.7516574 32.0451402, 34.75155 32.0451677, 34.751584 32.0452631))', 'POLYGON ((34.7517114 32.0484135, 34.7516745 32.0482656, 34.7516154 32.0482762, 34.7516278 32.0483257, 34.751521 32.0483449, 34.7515354 32.0484027, 34.7516375 32.0483844, 34.7516477 32.048425, 34.7517114 32.0484135))']","[['POLYGON ((34.7514899 32.0433244, 34.7515195 32.0434379, 34.7517506 32.0433947, 34.751721 32.0432812, 34.7514899 32.0433244))', 'unknown'], ['POLYGON ((34.751584 32.0452631, 34.7516914 32.0452355, 34.7516574 32.0451402, 34.75155 32.0451677, 34.751584 32.0452631))', 'unknown'], ['POLYGON ((34.7517114 32.0484135, 34.7516745 32.0482656, 34.7516154 32.0482762, 34.7516278 32.0483257, 34.751521 32.0483449, 34.7515354 32.0484027, 34.7516375 32.0483844, 34.7516477 32.048425, 34.7517114 32.0484135))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
443,TZ443,high,high,0_to_1,אבוטבול,חינוך,3,"['POLYGON ((34.7515786 32.0391105, 34.7515479 32.0390089, 34.7516985 32.0389762, 34.7517292 32.0390779, 34.7515786 32.0391105))', 'POLYGON ((34.7515551 32.0398894, 34.7517001 32.0398663, 34.7517242 32.0399749, 34.7515792 32.039998, 34.7515551 32.0398894))', 'POLYGON ((34.7516048 32.0430245, 34.7517285 32.043005, 34.7516923 32.0428401, 34.7515687 32.0428596, 34.7516048 32.0430245))']","[['POLYGON ((34.7515786 32.0391105, 34.7515479 32.0390089, 34.7516985 32.0389762, 34.7517292 32.0390779, 34.7515786 32.0391105))', 'unknown'], ['POLYGON ((34.7515551 32.0398894, 34.7517001 32.0398663, 34.7517242 32.0399749, 34.7515792 32.039998, 34.7515551 32.0398894))', 'unknown'], ['POLYGON ((34.7516048 32.0430245, 34.7517285 32.043005, 34.7516923 32.0428401, 34.7515687 32.0428596, 34.7516048 32.0430245))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
444,TZ444,low,low,0_to_1,מימון,רופא,2,"['POLYGON ((34.751484 32.0440421, 34.7515177 32.044189, 34.7518191 32.0441393, 34.7517854 32.0439924, 34.751484 32.0440421))', 'POLYGON ((34.7515751 32.0436824, 34.7518073 32.0436449, 34.7517571 32.0434217, 34.751525 32.0434592, 34.7515751 32.0436824))']","[['POLYGON ((34.751484 32.0440421, 34.7515177 32.044189, 34.7518191 32.0441393, 34.7517854 32.0439924, 34.751484 32.0440421))', 'unknown'], ['POLYGON ((34.7515751 32.0436824, 34.7518073 32.0436449, 34.7517571 32.0434217, 34.751525 32.0434592, 34.7515751 32.0436824))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
445,TZ445,high,high,1_to_3,גרדה,נגר,1,"['POLYGON ((34.751624 32.04544, 34.7517484 32.0454169, 34.7517084 32.0452625, 34.751584 32.0452857, 34.751624 32.04544))']","[['POLYGON ((34.751624 32.04544, 34.7517484 32.0454169, 34.7517084 32.0452625, 34.751584 32.0452857, 34.751624 32.04544))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
446,TZ446,low,high,6_t0_10,כהן,נהג,1,"['POLYGON ((34.7516094 32.046505, 34.7516368 32.0466508, 34.7517265 32.0466387, 34.7516991 32.0464929, 34.7516094 32.046505))']","[['POLYGON ((34.7516094 32.046505, 34.7516368 32.0466508, 34.7517265 32.0466387, 34.7516991 32.0464929, 34.7516094 32.046505))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
447,TZ447,low,low,10+,כהן,נגר,3,"['POLYGON ((34.751524 32.0470918, 34.75155 32.0473566, 34.7518165 32.0473378, 34.7517905 32.047073, 34.751524 32.0470918))', 'POLYGON ((34.7515795 32.0351659, 34.7517827 32.0351849, 34.751762 32.0353435, 34.7515588 32.0353245, 34.7515795 32.0351659))', 'POLYGON ((34.751572 32.0486957, 34.7516102 32.0488104, 34.7517746 32.0487711, 34.7517364 32.0486564, 34.751572 32.0486957))']","[['POLYGON ((34.751524 32.0470918, 34.75155 32.0473566, 34.7518165 32.0473378, 34.7517905 32.047073, 34.751524 32.0470918))', 'unknown'], ['POLYGON ((34.7515795 32.0351659, 34.7517827 32.0351849, 34.751762 32.0353435, 34.7515588 32.0353245, 34.7515795 32.0351659))', 'unknown'], ['POLYGON ((34.751572 32.0486957, 34.7516102 32.0488104, 34.7517746 32.0487711, 34.7517364 32.0486564, 34.751572 32.0486957))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
448,TZ448,high,medium,6_t0_10,כהן,נהג,3,"['POLYGON ((34.751554 32.0345243, 34.7517962 32.0345348, 34.751786 32.0347035, 34.7515672 32.034694, 34.7515727 32.0346033, 34.7515493 32.0346022, 34.751554 32.0345243))', 'POLYGON ((34.7515716 32.0446876, 34.7516322 32.0449085, 34.7517855 32.0448782, 34.7517248 32.0446573, 34.7515716 32.0446876))', 'POLYGON ((34.7516613 32.0406981, 34.7517689 32.0406735, 34.7517058 32.0404752, 34.7515982 32.0404998, 34.7516613 32.0406981))']","[['POLYGON ((34.751554 32.0345243, 34.7517962 32.0345348, 34.751786 32.0347035, 34.7515672 32.034694, 34.7515727 32.0346033, 34.7515493 32.0346022, 34.751554 32.0345243))', 'unknown'], ['POLYGON ((34.7515716 32.0446876, 34.7516322 32.0449085, 34.7517855 32.0448782, 34.7517248 32.0446573, 34.7515716 32.0446876))', 'unknown'], ['POLYGON ((34.7516613 32.0406981, 34.7517689 32.0406735, 34.7517058 32.0404752, 34.7515982 32.0404998, 34.7516613 32.0406981))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
449,TZ449,high,medium,10+,כהן,הייטק,1,"['POLYGON ((34.7517795 32.0505361, 34.7515478 32.050468, 34.7515555 32.050379, 34.7517795 32.0503397, 34.7518212 32.0504876, 34.7517795 32.0505361))']","[['POLYGON ((34.7517795 32.0505361, 34.7515478 32.050468, 34.7515555 32.050379, 34.7517795 32.0503397, 34.7518212 32.0504876, 34.7517795 32.0505361))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
450,TZ450,high,high,6_t0_10,גרדה,חינוך,1,"['POLYGON ((34.7515803 32.0500599, 34.7516765 32.0500486, 34.7518038 32.0500976, 34.7518823 32.0499758, 34.751718 32.0499282, 34.7517002 32.0499758, 34.7516706 32.0499696, 34.7516662 32.0499219, 34.7515033 32.049937, 34.7515803 32.0500599))']","[['POLYGON ((34.7515803 32.0500599, 34.7516765 32.0500486, 34.7518038 32.0500976, 34.7518823 32.0499758, 34.751718 32.0499282, 34.7517002 32.0499758, 34.7516706 32.0499696, 34.7516662 32.0499219, 34.7515033 32.049937, 34.7515803 32.0500599))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
451,TZ451,high,high,10+,גרדה,חינוך,2,"['POLYGON ((34.7515477 32.042242, 34.7516682 32.0422025, 34.7518608 32.0426242, 34.7516788 32.0426839, 34.7515999 32.042511, 34.7516773 32.0424855, 34.7516528 32.0424318, 34.7515836 32.0424545, 34.7515506 32.0423823, 34.7516417 32.0423524, 34.7516034 32.0422686, 34.7515655 32.042281, 34.7515477 32.042242))', 'POLYGON ((34.7518264 32.0533971, 34.7518074 32.0531935, 34.7515922 32.0532079, 34.7516112 32.0534115, 34.7518264 32.0533971))']","[['POLYGON ((34.7515477 32.042242, 34.7516682 32.0422025, 34.7518608 32.0426242, 34.7516788 32.0426839, 34.7515999 32.042511, 34.7516773 32.0424855, 34.7516528 32.0424318, 34.7515836 32.0424545, 34.7515506 32.0423823, 34.7516417 32.0423524, 34.7516034 32.0422686, 34.7515655 32.042281, 34.7515477 32.042242))', 'unknown'], ['POLYGON ((34.7518264 32.0533971, 34.7518074 32.0531935, 34.7515922 32.0532079, 34.7516112 32.0534115, 34.7518264 32.0533971))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
452,TZ452,low,high,3_to_6,אבוטבול,חינוך,1,"['POLYGON ((34.751802 32.0479564, 34.751801 32.0478074, 34.7516252 32.0478082, 34.7516263 32.0479573, 34.751802 32.0479564))']","[['POLYGON ((34.751802 32.0479564, 34.751801 32.0478074, 34.7516252 32.0478082, 34.7516263 32.0479573, 34.751802 32.0479564))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
453,TZ453,low,low,10+,כהן,נהג,1,"['POLYGON ((34.7516636 32.0400399, 34.7517764 32.0400252, 34.7517929 32.0401166, 34.7516802 32.0401313, 34.7516636 32.0400399))']","[['POLYGON ((34.7516636 32.0400399, 34.7517764 32.0400252, 34.7517929 32.0401166, 34.7516802 32.0401313, 34.7516636 32.0400399))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
454,TZ454,high,low,1_to_3,כהן,נהג,1,"['POLYGON ((34.7517226 32.0548322, 34.7515628 32.0546638, 34.7516774 32.0546059, 34.7517458 32.0546977, 34.751853 32.0546442, 34.7519119 32.0547092, 34.7517226 32.0548322))']","[['POLYGON ((34.7517226 32.0548322, 34.7515628 32.0546638, 34.7516774 32.0546059, 34.7517458 32.0546977, 34.751853 32.0546442, 34.7519119 32.0547092, 34.7517226 32.0548322))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
455,TZ455,medium,high,0_to_1,כהן,עובד ציבור,2,"['POLYGON ((34.7517487 32.0391117, 34.7518097 32.0393164, 34.7517013 32.0393396, 34.7516587 32.0391967, 34.7517178 32.039184, 34.7516994 32.0391222, 34.7517487 32.0391117))', 'POLYGON ((34.7517024 32.0457311, 34.7518461 32.0457011, 34.7517706 32.0454414, 34.7516269 32.0454714, 34.7517024 32.0457311))']","[['POLYGON ((34.7517487 32.0391117, 34.7518097 32.0393164, 34.7517013 32.0393396, 34.7516587 32.0391967, 34.7517178 32.039184, 34.7516994 32.0391222, 34.7517487 32.0391117))', 'unknown'], ['POLYGON ((34.7517024 32.0457311, 34.7518461 32.0457011, 34.7517706 32.0454414, 34.7516269 32.0454714, 34.7517024 32.0457311))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
456,TZ456,high,high,6_t0_10,אבוטבול,מלצר,1,"['POLYGON ((34.7516478 32.0458077, 34.7516712 32.0459276, 34.7518325 32.045905, 34.7518092 32.0457851, 34.7516478 32.0458077))']","[['POLYGON ((34.7516478 32.0458077, 34.7516712 32.0459276, 34.7518325 32.045905, 34.7518092 32.0457851, 34.7516478 32.0458077))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
457,TZ457,low,low,10+,מימון,נגר,2,"['POLYGON ((34.7511135 32.0518985, 34.7518964 32.051794, 34.751927 32.0518403, 34.7521593 32.051803, 34.7521593 32.0516257, 34.7524007 32.0515666, 34.7523846 32.0513802, 34.7522987 32.0513666, 34.7522837 32.051262, 34.7517631 32.0512531, 34.7517784 32.0514348, 34.7510327 32.0515257, 34.751092 32.0516894, 34.7511135 32.0518985))', 'POLYGON ((34.7518378 32.0439409, 34.7518113 32.0438407, 34.751671 32.0438673, 34.7516975 32.0439676, 34.7518378 32.0439409))']","[['POLYGON ((34.7511135 32.0518985, 34.7518964 32.051794, 34.751927 32.0518403, 34.7521593 32.051803, 34.7521593 32.0516257, 34.7524007 32.0515666, 34.7523846 32.0513802, 34.7522987 32.0513666, 34.7522837 32.051262, 34.7517631 32.0512531, 34.7517784 32.0514348, 34.7510327 32.0515257, 34.751092 32.0516894, 34.7511135 32.0518985))', 'unknown'], ['POLYGON ((34.7518378 32.0439409, 34.7518113 32.0438407, 34.751671 32.0438673, 34.7516975 32.0439676, 34.7518378 32.0439409))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
458,TZ458,medium,low,3_to_6,לוי,הייטק,1,"['POLYGON ((34.751834 32.040309, 34.751811 32.0402103, 34.7516784 32.0402325, 34.7517014 32.0403312, 34.751834 32.040309))']","[['POLYGON ((34.751834 32.040309, 34.751811 32.0402103, 34.7516784 32.0402325, 34.7517014 32.0403312, 34.751834 32.040309))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
459,TZ459,low,medium,0_to_1,לוי,הייטק,2,"['POLYGON ((34.7518901 32.0438043, 34.7518675 32.0437149, 34.751633 32.0437575, 34.7516556 32.0438469, 34.7518901 32.0438043))', 'POLYGON ((34.7518291 32.0445207, 34.7518016 32.0444372, 34.7517009 32.044461, 34.7517285 32.0445446, 34.7518291 32.0445207))']","[['POLYGON ((34.7518901 32.0438043, 34.7518675 32.0437149, 34.751633 32.0437575, 34.7516556 32.0438469, 34.7518901 32.0438043))', 'unknown'], ['POLYGON ((34.7518291 32.0445207, 34.7518016 32.0444372, 34.7517009 32.044461, 34.7517285 32.0445446, 34.7518291 32.0445207))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
460,TZ460,medium,high,1_to_3,מימון,נהג,2,"['POLYGON ((34.7518193 32.039342, 34.7518405 32.0394265, 34.7517218 32.0394479, 34.7517005 32.0393634, 34.7518193 32.039342))', 'POLYGON ((34.7518253 32.0544353, 34.7519118 32.0543403, 34.7517182 32.0542136, 34.7516317 32.0543086, 34.7518253 32.0544353))']","[['POLYGON ((34.7518193 32.039342, 34.7518405 32.0394265, 34.7517218 32.0394479, 34.7517005 32.0393634, 34.7518193 32.039342))', 'unknown'], ['POLYGON ((34.7518253 32.0544353, 34.7519118 32.0543403, 34.7517182 32.0542136, 34.7516317 32.0543086, 34.7518253 32.0544353))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
461,TZ461,high,medium,6_t0_10,מימון,חינוך,2,"['POLYGON ((34.7517451 32.0430049, 34.751803 32.0430049, 34.751803 32.0429405, 34.7517451 32.0429405, 34.7517451 32.0430049))', 'POLYGON ((34.7515602 32.049144, 34.7518385 32.0490863, 34.751948 32.0491051, 34.7520309 32.0491528, 34.7520354 32.0491867, 34.7517378 32.0492482, 34.7517497 32.0492946, 34.7516697 32.0493034, 34.751652 32.0492482, 34.7515928 32.0492595, 34.7515602 32.049144))']","[['POLYGON ((34.7517451 32.0430049, 34.751803 32.0430049, 34.751803 32.0429405, 34.7517451 32.0429405, 34.7517451 32.0430049))', 'unknown'], ['POLYGON ((34.7515602 32.049144, 34.7518385 32.0490863, 34.751948 32.0491051, 34.7520309 32.0491528, 34.7520354 32.0491867, 34.7517378 32.0492482, 34.7517497 32.0492946, 34.7516697 32.0493034, 34.751652 32.0492482, 34.7515928 32.0492595, 34.7515602 32.049144))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
462,TZ462,low,low,0_to_1,לוי,נהג,3,"['POLYGON ((34.7518001 32.0449356, 34.7516989 32.0449553, 34.7517581 32.0451737, 34.7518594 32.0451539, 34.7518001 32.0449356))', 'POLYGON ((34.7514987 32.0311756, 34.7516319 32.0311548, 34.7516407 32.0311954, 34.7521122 32.0311218, 34.7521348 32.0312261, 34.7514969 32.0313256, 34.7514746 32.0312229, 34.7515078 32.0312177, 34.7514987 32.0311756))', 'POLYGON ((34.7518245 32.0389362, 34.7518617 32.0390606, 34.7517791 32.0390783, 34.751742 32.0389539, 34.7518245 32.0389362))']","[['POLYGON ((34.7518001 32.0449356, 34.7516989 32.0449553, 34.7517581 32.0451737, 34.7518594 32.0451539, 34.7518001 32.0449356))', 'unknown'], ['POLYGON ((34.7514987 32.0311756, 34.7516319 32.0311548, 34.7516407 32.0311954, 34.7521122 32.0311218, 34.7521348 32.0312261, 34.7514969 32.0313256, 34.7514746 32.0312229, 34.7515078 32.0312177, 34.7514987 32.0311756))', 'unknown'], ['POLYGON ((34.7518245 32.0389362, 34.7518617 32.0390606, 34.7517791 32.0390783, 34.751742 32.0389539, 34.7518245 32.0389362))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
463,TZ463,medium,high,3_to_6,סולומון,נהג,3,"['POLYGON ((34.7516898 32.04309, 34.75172 32.0432244, 34.7519409 32.0431888, 34.7519107 32.0430544, 34.7516898 32.04309))', 'POLYGON ((34.7517284 32.0429165, 34.7519162 32.0429154, 34.751915 32.0427571, 34.7517271 32.0427582, 34.7517284 32.0429165))', 'POLYGON ((34.7519323 32.0404007, 34.7519114 32.0403129, 34.7517184 32.0403459, 34.7517393 32.0404338, 34.7519323 32.0404007))']","[['POLYGON ((34.7516898 32.04309, 34.75172 32.0432244, 34.7519409 32.0431888, 34.7519107 32.0430544, 34.7516898 32.04309))', 'unknown'], ['POLYGON ((34.7517284 32.0429165, 34.7519162 32.0429154, 34.751915 32.0427571, 34.7517271 32.0427582, 34.7517284 32.0429165))', 'unknown'], ['POLYGON ((34.7519323 32.0404007, 34.7519114 32.0403129, 34.7517184 32.0403459, 34.7517393 32.0404338, 34.7519323 32.0404007))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
464,TZ464,low,medium,1_to_3,אבוטבול,נהג,3,"['POLYGON ((34.7517066 32.0483509, 34.7519537 32.048342, 34.7519454 32.0481761, 34.7516983 32.048185, 34.7517066 32.0483509))', 'POLYGON ((34.7517374 32.0347922, 34.7519401 32.0348127, 34.7519157 32.0349856, 34.7517131 32.0349651, 34.7517374 32.0347922))', 'POLYGON ((34.7519126 32.0453346, 34.7518712 32.0451878, 34.7517561 32.0452112, 34.7517975 32.045358, 34.7519126 32.0453346))']","[['POLYGON ((34.7517066 32.0483509, 34.7519537 32.048342, 34.7519454 32.0481761, 34.7516983 32.048185, 34.7517066 32.0483509))', 'unknown'], ['POLYGON ((34.7517374 32.0347922, 34.7519401 32.0348127, 34.7519157 32.0349856, 34.7517131 32.0349651, 34.7517374 32.0347922))', 'unknown'], ['POLYGON ((34.7519126 32.0453346, 34.7518712 32.0451878, 34.7517561 32.0452112, 34.7517975 32.045358, 34.7519126 32.0453346))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
465,TZ465,low,medium,1_to_3,אבוטבול,חינוך,2,"['POLYGON ((34.7517339 32.0497946, 34.7517474 32.0499158, 34.7519354 32.0499008, 34.7519219 32.0497796, 34.7517339 32.0497946))', 'POLYGON ((34.7517712 32.0391115, 34.7518972 32.0390873, 34.7519186 32.0391677, 34.7517927 32.0391919, 34.7517712 32.0391115))']","[['POLYGON ((34.7517339 32.0497946, 34.7517474 32.0499158, 34.7519354 32.0499008, 34.7519219 32.0497796, 34.7517339 32.0497946))', 'unknown'], ['POLYGON ((34.7517712 32.0391115, 34.7518972 32.0390873, 34.7519186 32.0391677, 34.7517927 32.0391919, 34.7517712 32.0391115))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
466,TZ466,medium,high,6_t0_10,אבוטבול,נהג,2,"['POLYGON ((34.7516862 32.0417811, 34.7517281 32.0418917, 34.7520192 32.0418125, 34.7519773 32.0417019, 34.7516862 32.0417811))', 'POLYGON ((34.7517416 32.0356253, 34.7520179 32.0356437, 34.7519967 32.0358731, 34.7517204 32.0358547, 34.7517416 32.0356253))']","[['POLYGON ((34.7516862 32.0417811, 34.7517281 32.0418917, 34.7520192 32.0418125, 34.7519773 32.0417019, 34.7516862 32.0417811))', 'unknown'], ['POLYGON ((34.7517416 32.0356253, 34.7520179 32.0356437, 34.7519967 32.0358731, 34.7517204 32.0358547, 34.7517416 32.0356253))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
467,TZ467,medium,medium,3_to_6,מימון,מלצר,2,"['POLYGON ((34.7517972 32.0434001, 34.7519618 32.043375, 34.7519555 32.043235, 34.7517636 32.0432709, 34.7517972 32.0434001))', 'POLYGON ((34.7515558 32.0314763, 34.7521666 32.0314017, 34.7521848 32.0315088, 34.7515739 32.0315833, 34.7515558 32.0314763))']","[['POLYGON ((34.7517972 32.0434001, 34.7519618 32.043375, 34.7519555 32.043235, 34.7517636 32.0432709, 34.7517972 32.0434001))', 'unknown'], ['POLYGON ((34.7515558 32.0314763, 34.7521666 32.0314017, 34.7521848 32.0315088, 34.7515739 32.0315833, 34.7515558 32.0314763))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
468,TZ468,low,low,1_to_3,לוי,מלצר,2,"['POLYGON ((34.7518067 32.0406022, 34.7519831 32.0405644, 34.7519431 32.0404303, 34.7517667 32.040468, 34.7518067 32.0406022))', 'POLYGON ((34.751706 32.0419425, 34.7517426 32.0420515, 34.7520517 32.0419769, 34.7520151 32.0418679, 34.751706 32.0419425))']","[['POLYGON ((34.7518067 32.0406022, 34.7519831 32.0405644, 34.7519431 32.0404303, 34.7517667 32.040468, 34.7518067 32.0406022))', 'unknown'], ['POLYGON ((34.751706 32.0419425, 34.7517426 32.0420515, 34.7520517 32.0419769, 34.7520151 32.0418679, 34.751706 32.0419425))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
469,TZ469,high,medium,6_t0_10,סולומון,מלצר,2,"['POLYGON ((34.7518016 32.0534841, 34.751974 32.0534322, 34.7519357 32.0532999, 34.7519204 32.0531854, 34.7518246 32.0531903, 34.7518514 32.05342, 34.751794 32.0534322, 34.7518016 32.0534841))', 'POLYGON ((34.751928 32.0397313, 34.7519653 32.0398404, 34.7518526 32.0398682, 34.7518152 32.0397591, 34.751928 32.0397313))']","[['POLYGON ((34.7518016 32.0534841, 34.751974 32.0534322, 34.7519357 32.0532999, 34.7519204 32.0531854, 34.7518246 32.0531903, 34.7518514 32.05342, 34.751794 32.0534322, 34.7518016 32.0534841))', 'unknown'], ['POLYGON ((34.751928 32.0397313, 34.7519653 32.0398404, 34.7518526 32.0398682, 34.7518152 32.0397591, 34.751928 32.0397313))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
470,TZ470,medium,high,10+,אבוטבול,מלצר,2,"['POLYGON ((34.7519564 32.0444944, 34.7519248 32.0444025, 34.7518285 32.0444263, 34.7518602 32.0445182, 34.7519564 32.0444944))', 'POLYGON ((34.7517684 32.0445935, 34.7518284 32.0447518, 34.7520312 32.0446965, 34.7519713 32.0445383, 34.7517684 32.0445935))']","[['POLYGON ((34.7519564 32.0444944, 34.7519248 32.0444025, 34.7518285 32.0444263, 34.7518602 32.0445182, 34.7519564 32.0444944))', 'unknown'], ['POLYGON ((34.7517684 32.0445935, 34.7518284 32.0447518, 34.7520312 32.0446965, 34.7519713 32.0445383, 34.7517684 32.0445935))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
471,TZ471,low,high,10+,סולומון,רופא,2,"['POLYGON ((34.7515965 32.0317378, 34.7522103 32.0316623, 34.7522275 32.0317627, 34.7516136 32.0318382, 34.7515965 32.0317378))', 'POLYGON ((34.7518894 32.0472686, 34.7519389 32.0472674, 34.7519346 32.0471393, 34.7518851 32.0471405, 34.7518894 32.0472686))']","[['POLYGON ((34.7515965 32.0317378, 34.7522103 32.0316623, 34.7522275 32.0317627, 34.7516136 32.0318382, 34.7515965 32.0317378))', 'unknown'], ['POLYGON ((34.7518894 32.0472686, 34.7519389 32.0472674, 34.7519346 32.0471393, 34.7518851 32.0471405, 34.7518894 32.0472686))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
472,TZ472,low,high,10+,לוי,הייטק,2,"['POLYGON ((34.7520074 32.0455893, 34.7519437 32.0453647, 34.7518241 32.0453891, 34.7518877 32.0456137, 34.7520074 32.0455893))', 'POLYGON ((34.7517069 32.0412749, 34.7518773 32.0412352, 34.7519101 32.0413364, 34.7520469 32.0413046, 34.752012 32.0411968, 34.7521702 32.04116, 34.752122 32.0410108, 34.7516564 32.041119, 34.7517069 32.0412749))']","[['POLYGON ((34.7520074 32.0455893, 34.7519437 32.0453647, 34.7518241 32.0453891, 34.7518877 32.0456137, 34.7520074 32.0455893))', 'unknown'], ['POLYGON ((34.7517069 32.0412749, 34.7518773 32.0412352, 34.7519101 32.0413364, 34.7520469 32.0413046, 34.752012 32.0411968, 34.7521702 32.04116, 34.752122 32.0410108, 34.7516564 32.041119, 34.7517069 32.0412749))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
473,TZ473,medium,high,10+,כהן,מלצר,2,"['POLYGON ((34.7516855 32.0416818, 34.752281 32.0415303, 34.7522015 32.0413058, 34.7519034 32.0413816, 34.7519522 32.0415196, 34.7518493 32.0415458, 34.751828 32.0414857, 34.75176 32.041503, 34.7516868 32.0412962, 34.7515603 32.0413283, 34.7516855 32.0416818))', 'POLYGON ((34.751998 32.0369955, 34.7519917 32.0371578, 34.7518563 32.0371541, 34.7518626 32.0369917, 34.751998 32.0369955))']","[['POLYGON ((34.7516855 32.0416818, 34.752281 32.0415303, 34.7522015 32.0413058, 34.7519034 32.0413816, 34.7519522 32.0415196, 34.7518493 32.0415458, 34.751828 32.0414857, 34.75176 32.041503, 34.7516868 32.0412962, 34.7515603 32.0413283, 34.7516855 32.0416818))', 'unknown'], ['POLYGON ((34.751998 32.0369955, 34.7519917 32.0371578, 34.7518563 32.0371541, 34.7518626 32.0369917, 34.751998 32.0369955))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
474,TZ474,high,low,10+,מימון,נגר,3,"['POLYGON ((34.7518736 32.0389586, 34.7519573 32.0389407, 34.7519819 32.0390236, 34.7518983 32.0390415, 34.7518736 32.0389586))', 'POLYGON ((34.751874 32.0399111, 34.7519112 32.0400071, 34.7519847 32.0399867, 34.7519476 32.0398907, 34.751874 32.0399111))', 'POLYGON ((34.7518615 32.0331094, 34.7518228 32.0329044, 34.7519993 32.0328804, 34.752038 32.0330854, 34.7518615 32.0331094))']","[['POLYGON ((34.7518736 32.0389586, 34.7519573 32.0389407, 34.7519819 32.0390236, 34.7518983 32.0390415, 34.7518736 32.0389586))', 'unknown'], ['POLYGON ((34.751874 32.0399111, 34.7519112 32.0400071, 34.7519847 32.0399867, 34.7519476 32.0398907, 34.751874 32.0399111))', 'unknown'], ['POLYGON ((34.7518615 32.0331094, 34.7518228 32.0329044, 34.7519993 32.0328804, 34.752038 32.0330854, 34.7518615 32.0331094))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
475,TZ475,low,low,3_to_6,לוי,חינוך,2,"['POLYGON ((34.7518118 32.0465089, 34.7520682 32.0464806, 34.7520505 32.0463654, 34.751794 32.0463938, 34.7518118 32.0465089))', 'POLYGON ((34.7517932 32.0526855, 34.7521365 32.052522, 34.7520809 32.052438, 34.7517375 32.0526016, 34.7517932 32.0526855))']","[['POLYGON ((34.7518118 32.0465089, 34.7520682 32.0464806, 34.7520505 32.0463654, 34.751794 32.0463938, 34.7518118 32.0465089))', 'unknown'], ['POLYGON ((34.7517932 32.0526855, 34.7521365 32.052522, 34.7520809 32.052438, 34.7517375 32.0526016, 34.7517932 32.0526855))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
